"code","lastPrice","movementPercentage","close","open","high","low","volume","high52Week","low52Week","tradesValue","numberOfTrades","marketCap","totalBuyOrders","totalBuyVolume","totalSellOrders","totalSellVolume","buySellOrderRatio","buySellVolRatio","mktDepth","companyName","companyDesc","sector","industry","peRatio","eps","peGrowth","debtEquity","pbRatio","beta","dividendAmount","dividendYield","dpsCurrent"
"CLU","0.085",,"0.0850","0.0","0.0","0.0","0","0.4600","0.0730","0.0","0","17000000","4","100480","8","89934","0.5","1.1","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1     28293    0.085          1      50000      0.09
        1     42187    0.075          1       3740     0.091
        1     20000    0.072          1        471     0.096
        1     10000     0.07          2       2653       0.1
                                      1        120      0.11
                                      1       9500      0.12
                                      1      23450      0.16","CLUEY LTD","Cluey ltd (CLU) is Australia largest online school tutoring and education support company. Cluey is at the forefront of delivering targeted curriculum aligned learning support for students in Australia and New Zealand using a combination of live face-to-face online tutoring, learning analytics and insights.","Consumer Discretionary","Consumer Services",,"-0.119",,"2.2","0.95","1.05",,,
"CLV","0.805","0.63","0.8000","0.805","0.815","0.8","11063","1.4700","0.7000","8880.0","9","134000000","21","77648","17","210113","1.2","0.4","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        4     33558      0.8          2     136974      0.81
        3      3294     0.78          1      13566      0.86
        3      6053     0.75          3      15351       0.9
        1      1351     0.74          1        650      0.91
        1      5000     0.72          1      10000      0.92
        1      5500    0.715          1       1243      0.94
        3     13742     0.71          3       4815      0.95
        3      7050      0.7          2       5500       1.0
        1      1000     0.68          1       1520      1.05
        1      1100    0.655          1       7500      1.18","CLOVER CORPORATION LIMITED","Clover Corporation Limited (CLV) is an Australian Company formed in 1988 providing lipid-based ingredients for the food industry.","Materials","Materials","21.51","0.037",,"17.4","1.99","0.9","0.75","1.9","0.015"
"CLW","3.6","0.56","3.5800","3.58","3.61","3.54","1850123","4.7750","2.9800","6642322.805","2764","2588000000","167","538536","60","246144","2.8","2.2","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1      1565     3.59          4      12745       3.6
        8     31088     3.58          7      24659      3.61
        7     37870     3.57          4      21975      3.62
        7     24080     3.56          5      21312      3.63
        6     18038     3.55          3      15059      3.64
        7     20726     3.54          4      45299      3.65
        4      4646     3.53          1       2967      3.66
        5      3676     3.52          1       2967      3.67
        1      2967     3.51          2       3067      3.68
        8     22138      3.5          1       2967      3.69","CHARTER HALL LONG WALE REIT","Charter Hall Long Wale REIT (CLW) is involved in property investment. CLW consists of the securities of the two Australian registered schemes listed below: Charter Hall Direct Industrial Fund and its controlled entities and LWR Finance Trust and its controlled entity. It is an Australian Real Estate Investment Trust (REIT) investing in high quality real estate assets that are predominantly leased to corporate and government tenants on long term leases.","Real Estate","Equity Real Estate Investment Trusts (REITs)","25.52","0.042","0.17",,"0.64","0.91","6.5","7.5","0.28"
"CLX","1.5","0.00","1.5000","1.51","1.51","1.5","33962","2.2000","1.4000","51271.92","10","120000000","12","66972","10","105756","1.2","0.6","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2      3107     1.48          1      21276      1.55
        2      9607     1.47          1       1000      1.58
        1     10000     1.45          2      62800       1.6
        1       400     1.43          1       9228      1.65
        3     14399     1.41          1        652      1.71
        1      3571      1.4          2       3300      1.75
        1     22388     1.34          1       5000      1.89
        1      3500     1.19          1       2500      2.05","CTI LOGISTICS LIMITED","CTI Logistics Limited (CLX) engaged in the provision of logistics and transport services, rental of property, specialised flooring logistics and provision of security services.","Industrials","Transportation","7.05","0.213",,"82.8","1.03","0.62","5.0","6.7","0.1"
"CLZ","0.001","0.00","0.0010","0.001","0.001","0.001","1406000","0.0120","0.0010","1406.000","4","12000000","0","0","285","2342089216",,,"buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
                                    179 2117097928     0.001
                                     37   80706880     0.002
                                     13   44446141     0.003
                                     10   39567872     0.004
                                     12   23220488     0.005
                                      2    6090220     0.006
                                      2    1460000     0.007
                                      3    4453333     0.008
                                      1     100000     0.009
                                     10   15166522      0.01","CLASSIC MINERALS LTD","Classic Minerals Limited (CLZ) is into exploration of mineral resource projects, focusing on gold and nickel.","Materials","Materials",,"-0.011",,"-131.3","-0.01","1.13",,,
"CMD","0.035",,"0.0350","0.0","0.0","0.0","0","0.0450","0.0160","0.0","0","16000000","10","2453624","16","1748263","0.6","1.4","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1    303030    0.033          2     219999     0.037
        1    323000    0.032          1     112744     0.038
        3    269144    0.031          2     211106      0.04
        2   1190950     0.03          1      42000     0.041
        1     37500    0.029          1      90000     0.042
        1    130000    0.028          3     733191     0.044
        1    200000    0.025          1      34260     0.045
                                      1      17000     0.049
                                      1     100000      0.06
                                      1      20000      0.07","CASSIUS MINING LIMITED","Cassius Mining Limited (CMD) involved in mining and mineral exploration and seeking mining exploration opportunities.","Materials","Materials",,"-0.001",,"0.0","5.32","0.89",,,
"CMG","0.2","8.11","0.1850","0.185","0.2","0.18","46236","0.2800","0.1500","8503.66","5","6000000","6","120049","7","135043","0.9","0.9","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1     24999     0.18          1      37560       0.2
        1     50000     0.17          2      16333     0.215
        1      5517    0.145          2      36992      0.22
        1      9533    0.105          1      40707     0.265
        1      5000      0.1          1       3451      0.29
        1     25000     0.08","CRITICAL MINERALS GROUP LIMITED","Critical Minerals Group Limited (CMG) is an Australian company focused on developing critical minerals projects that are required for the renewable energy transition including decarbonisation and electrification needed for a sustainable future. The company aims to reduce dilution and drive early-stage revenues through strategic partnerships and corporate transactions to add value to our shareholders while operating to the highest ESG standards.","Materials","Materials",,"-0.033",,"0.0","2.4","0.87",,,
"CMM","4.31","0.23","4.3000","4.25","4.31","4.25","916750","5.2200","3.5800","3936057.925","3462","1620000000","51","121186","93","525831","0.5","0.2","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1       589     4.28          3      13563      4.31
        2      3229     4.27          2      11304      4.32
        5     17951     4.26          3      12539      4.33
        4     16667     4.25          1        589      4.34
        4     11412     4.24          2      10589      4.35
        1       589     4.23          1        589      4.36
        1       589     4.22          1        589      4.37
        1       589     4.21          2       2688      4.38
        4      8255      4.2          1        589      4.39
        1       589     4.19          1        589       4.4","CAPRICORN METALS LTD","Capricorn Metals Ltd (CMM, formerly Malagasy Minerals Limited) is into exploration, evaluation and development of the Karlawinda Gold Project. In June 2021 the Group commenced gold production at the Karlawinda Gold Project.","Materials","Materials","37.63","0.012","0.11","35.8","6.3","0.87",,,
"CMO","0.062",,"0.0620","0.0","0.0","0.0","0","0.1900","0.0490","0.0","0","2000000","4","359502","5","177148","0.8","2","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1     60015     0.05          1      40000     0.065
        2    255966    0.049          1       7148     0.075
        1     43521    0.023          1      50000     0.077
                                      1      50000      0.08
                                      1      30000     0.086","COSMO METALS LIMITED","Cosmo Metals Limited (CMO) is an ASX listed, base metals exploration company focused on the advancement of its flagship Yamarna Project which is highly prospective for copper-nickel-cobalt (Cu-Ni-Co) and platinum group elements (PGE) and located 130km north-east of Laverton in the Eastern Goldfields region of Western Australia.","Materials","Materials",,"-0.014",,"0.0","0.39","0.9",,,
"CMP","0.27","12.50","0.2400","0.295","0.295","0.27","286572","0.3400","0.1350","81216.510","32","42000000","27","527678","28","392502","1","1.3","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1      2500     0.27          3      36000      0.29
        2     24200    0.265          3      24239     0.295
        2     17000     0.26          2      40676       0.3
        3     32000     0.25          1       7500      0.31
        2     46001     0.24          1      17287     0.315
        2     20000     0.23          5      69522      0.32
        2     79444    0.225          2       9230     0.325
        2     12545     0.22          1      23852      0.33
        3     59750      0.2          3      65000      0.35
        1      2002    0.195          1      16216      0.36","COMPUMEDICS LIMITED","Compumedics Limited (CMP) is a medical device company involved in the development, manufacture and commercialization of diagnostics technology for the sleep, brain and ultrasonic blood-flow monitoring applications. The Company owns US based Neuroscan and Germany-based DWL Elektronishe Systeme GmbH. In conjunction with these two subsidiaries, Compumedics has international reach, including Americas; Australia and Asia Pacific; and Europe and the Middle East.","Health Care","Health Care Equipment & Services",,"-0.017",,"51.7","2.33","0.95",,,
"CMW","0.45","0.00","0.4500","0.45","0.452","0.44","3489342","0.7600","0.3100","1563371.1095","1570","1178000000","128","2621591","64","2146544","2","1.2","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        5      5589    0.445         14     422703     0.455
       15    280056     0.44          7     179498      0.46
        5    232535    0.435          5      54588     0.465
       10    158892     0.43          6     146114      0.47
        6    117820    0.425          3      39197     0.475
        5     95648     0.42          3     225052      0.48
        4    104669    0.415          2      43546     0.485
        4     89419     0.41          3      73400      0.49
        5    163351    0.405          5     128648       0.5
        8    218701      0.4          4     528200      0.52","CROMWELL PROPERTY GROUP","Cromwell Property Group (ASX:CMW) is a diversified real estate investor and manager with operations on three continents and a global investor base. Cromwell is included in the S&P/ASX200. As at 30 June 2022, Cromwell had a market capitalization of $2.0 billion, an Australian investment portfolio valued at $3.0 billion and total assets under management of $12.0 billion across Australia, New Zealand and Europe.","Real Estate","Equity Real Estate Investment Trusts (REITs)","14.23","0.02","0.39",,"0.53","0.99","0.83","9.8","0.055"
"CMX","0.059","-11.94","0.0670","0.06","0.06","0.058","207974","0.1950","0.058","12372.544","6","4000000","6","116872","13","1151445","0.5","0.1","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1     10000    0.056          1     393474      0.06
        1      9818    0.051          1      50000     0.065
        3     70000     0.05          1      14000     0.079
        1     27054    0.037          1       6521      0.08
                                      1      28215     0.095
                                      1      24073       0.1
                                      2     207491      0.11
                                      1     158200     0.115
                                      1     230169      0.12
                                      1      25000      0.18","CHEMX MATERIALS LIMITED","ChemX Materials Limited (CMX) is an advanced materials technology company focused on materials required for electrification and decarbonisation. ChemX has had develop a process to produce High Purity Alumina (HPA) - a input for battery technology and is in process to develop materials to enable the energy transition and decarbonisation processes through the development of its HiPurA HPA technology, the Kimba Kaolin / Halloysite project and Jamison Tank Manganese project.","Materials","Materials",,"-0.045",,"8.9","0.93","0.95",,,
"CNB","0.8","0.00","0.8000","0.8","0.80","0.77","173557","1.6850","0.5550","136316.965","175","130000000","81","805830","28","219146","2.9","3.7","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2     29660    0.775          2       6350       0.8
        5     24006     0.77          1       2664     0.815
        2     19657     0.76          1      10374      0.83
        1      1400    0.755          1       1000     0.845
        7     57966     0.75          3      14705      0.85
        2     13506     0.74          1      20000     0.855
        2     11109     0.73          1      10000      0.86
        2     30000     0.72          1      15000     0.865
        1      1000     0.71          2      15179      0.88
        1      5000    0.705          1      32421     0.885","CARNABY RESOURCES LIMITED","Carnaby Resources Limited (ASX: CNB) is an Australian exploration and development company focussed on copper and gold projects in the Mount Isa Inlier of Queensland and the Pilbara&#39;s Mallina Basin and Yilgarn Margin of Western Australia.","Materials","Materials",,"-0.083",,"0.1","4.12","0.86",,,
"CNI","1.56","0.00","1.5600","1.555","1.5725","1.54","1762611","2.0400","1.1300","2748330.6335","3016","1256000000","48","209837","47","418619","1","0.5","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        4     31738    1.555          1      13377      1.56
        3     24695     1.55          4       9926     1.565
        3     15254    1.545          4      27224      1.57
        1      1509     1.54          3       5868     1.575
        1      1302    1.535          4      22480      1.58
        2      1084     1.53          3      15801     1.585
        2      1302    1.525          1       1302      1.59
        3      4602     1.52          4      43024     1.595
        2      5509    1.515          2       1658       1.6
        2      7904     1.51          3       7286     1.605","CENTURIA CAPITAL GROUP","Centuria Capital Group (CNI) is an ASX-listed specialist investment manager with a 35-year track-record of delivering a range of products and services to investors, advisers and securityholders. Centuria Capital Group has $20.2b in Assets Under Management (AUM). Their business is centred around property funds management and investment bonds. Centuria Capital Group (ASX:CNI) is a leading Australasian fund manager included in the S&P/ASX 200 Index, established 24 years ago.","Real Estate","Equity Real Estate Investment Trusts (REITs)","12.15","0.14",,,"0.88","0.94","5.8","6.7","0.116"
"CNJ","0.005",,"0.0050","0.0","0.0","0.0","0","0.0220","0.0040","0.0","0","8000000","47","32618601","48","13423960","1","2.4","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2    151747    0.005          9    2254527     0.006
       18  11628830    0.004          3     292856     0.007
       15   9792998    0.003          5    1437500     0.008
        9   5845025    0.002          5    1271855     0.009
        3   5200001    0.001          3    1296315      0.01
                                      2     200000     0.011
                                      3    2427272     0.012
                                      3    1221000     0.013
                                      1      35000     0.017
                                      1      46877     0.018","CONICO LTD","Conico Ltd (CNJ, formerly Fission Energy Limited) is a mineral exploration company focusing on cobalt, nickel and manganese exploration.","Materials","Materials",,"-0.001",,"0.0","0.21","0.91",,,
"CNQ","0.31","-10.14","0.3450","0.3","0.32","0.30","50840","0.4800","0.2350","15546.40","8","22000000","23","290290","14","107364","1.6","2.7","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1      3333      0.3          2       4190     0.345
        2     20680    0.295          3       4889      0.35
        3     40025     0.29          2       1759     0.375
        1     10000    0.285          1      49729     0.395
        2     13000     0.28          2        760       0.4
        1      8855    0.275          1      40000     0.405
        2      4100     0.27          2       5858       0.5
        1      6000     0.26          1        179       1.0
        2      2400    0.255                                
        1      6000    0.245","CLEAN TEQ WATER LIMITED","Clean TeQ Water Limited (CNQ) is one of Australia&#39;s technology companies in the water treatment and resource recovery space. The services are provided to governments and companies. The technology solutions include desalination, nutrient removal, zero liquid discharge and hardness removal. The company has offices and laboratories in Melbourne, Beijing and Tianjin, and partnerships covering Africa, the Middle East and North Africa regions and Latin America.","Industrials","Commercial & Professional Services",,"-0.095",,"4.3","2.49","0.88",,,
"CNU","7.13","-0.83","7.1900","7.19","7.19","7.11","588888","8.2000","6.4500","4211195.006","2773","3120000000","12","27905","22","70218","0.5","0.4","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1      2361     7.13          2       2547      7.15
        1      1182     7.12          6      37589      7.16
        1      1185     7.11          2       2816      7.17
        2      5218      7.1          3       3860      7.18
        2      5814     7.09          1       1757      7.19
        1      2430     7.08          2       2440       7.2
        1       143     6.99          1       6000       7.3
        1      7595     6.58          2       7602      7.71
        1      1200     6.44          1       1350      7.73
        1       777     6.43          2       4257       8.0","CHORUS LIMITED","Chorus Limited (CNU) is a telecommunication business operating a nationwide fixed line access network infrastructure in New Zealand. This infrastructure comprises local telephone exchanges, cabinets and copper and fibre cables. CNU has six products & services including: Basic Copper, Enhanced Copper, Fibre, Value Added Network Services, Field Services and Infrastructure Services.","Communication Services","Telecommunication Services","105.65","0.058","2.95","254.8","3.21","0.96","19.92","5.8","0.391"
"CNW","0.061",,"0.0610","0.0","0.0","0.0","0","0.0650","0.0300","0.0","0","57000000",,,,,,,"","CIRRUS NETWORKS HOLDINGS LIMITED","Cirrus Networks Holdings Limited (CNW) is a Managed Service and IT solutions provider , providing technology solutions to SME and government organizations nationally in Australia. The company  advise, integrate, manage, and secure customer IT environments with a modern, flexible approach and focuses on providing an independent flexible approach to designing, building, and managing IT infrastructure. By understanding organisation&#39;s strategic drivers, priorities and issues, they offer tailored solutions.","Information Technology","Software & Services","30.5","0.002",,"7.2","3.02","1.24",,,
"COB","0.235","-6.00","0.2500","0.25","0.25","0.235","766841","0.6700","0.2100","183123.0980","124","94000000","48","915065","50","1950909","1","0.5","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2     10283    0.235          2     783857      0.24
        5     33300     0.23          2      51872     0.255
        2     90000    0.225          1      29756     0.265
        8    183776     0.22          1      50000     0.275
        4     59674    0.215          2      61728      0.28
        4     42715     0.21          1       4284     0.285
        2     54981    0.205          4     240000      0.29
       12    210495      0.2          1       3000     0.295
        1     10000    0.195          3     236750       0.3
        1     10000     0.19          1      24000     0.305","COBALT BLUE HOLDINGS LIMITED","Cobalt Blue Holdings Limited (COB) is a green energy cobalt development and technology group focusing on developing cobalt mining and refining operations in Australia. The Company&#39;s current primary project is the Broken Hill Cobalt Project (BHCP), located approximately 23 km west of Broken Hill, NSW. ","Materials","Materials",,"-0.016",,"4.8","1.4","0.88",,,
"COD","0.13","0.00","0.1300","0.125","0.13","0.125","64078","0.3950","0.125","8225.14","10","18000000","13","282626","16","465906","0.8","0.6","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        3     95960    0.125          1       4940      0.13
        3    110000     0.12          2      78780      0.14
        1      5000     0.11          1       5000     0.145
        1     10000    0.105          5     174289      0.15
        5     61666      0.1          1      41998      0.16
                                      1     128903     0.175
                                      2      14003      0.19
                                      1       9999       0.2
                                      2       7994     0.215","CODA MINERALS LTD","Coda Minerals Limited (ASX: COD) is focused on the discovery and development of minerals that are leveraged to the global energy transformation through electrification and the adoption of renewable energy technologies.","Materials","Materials",,"-0.057",,"0.0","0.81","0.89",,,
"COE","0.1","0.00","0.1000","0.105","0.11","0.10","15027413","0.2000","0.0910","1550436.5050","267","263000000","47","2307280","111","13648330","0.4","0.2","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        5    405151    0.099          3     436723     0.105
        1    153000    0.098         15    3648154      0.11
        2    400000    0.097         15    1933330     0.115
        1    104166    0.096          7    1194177      0.12
        6    269908    0.095          8     758523     0.125
        5    138585    0.094          3     200644      0.13
        3    112151    0.091          1     270000     0.135
        8    162499     0.09          6    1646202      0.14
        1     18000    0.089          8     661014     0.145
        1     18181    0.088         13     809880      0.15","COOPER ENERGY LIMITED","Cooper Energy Limited (COE) is an exploration and production company which generates revenue from gas supply to south-east Australia and low-cost Cooper Basin oil production. COE has a portfolio comprising of prospective acreage in the Cooper, Otway and Gippsland basins Australia. Cooper energy is contributing to Australia&#39;s sustainable energy future by commercializing gas, oil `and other resource for domestic markets.","Energy","Energy",,"-0.024",,"31.1","0.53","1.72",,,
"COF","1.345","0.75","1.3350","1.355","1.355","1.335","617106","1.7775","1.0550","830081.4095","665","797000000","61","966243","23","257395","2.7","3.8","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        3     28816     1.34          1       9450     1.355
        4     41105    1.335          2      14450      1.36
        2     10101     1.33          3      32245      1.38
        1        47    1.325          1      18000     1.385
        2      8564     1.32          2      11340      1.39
        1     12295    1.305          1      28082     1.395
        1      7000      1.3          3      16702       1.4
        1      6619    1.295          1      13525      1.42
        1      4716     1.29          1       2000     1.425
        2     13911     1.27          1      12500      1.44","CENTURIA OFFICE REIT","Centuria Office REIT (COF) is Australia&#39;s largest ASX listed pure play office REIT. COF owns a portfolio of high-quality assets situated in core office markets throughout Australia. COF is overseen by a hands-on, active manager and provides investors with income and the opportunity for capital growth from a pure play portfolio of high-quality Australian office assets. Centuria Capital Group (ASX: CNI) is the manager of Centuria Office REIT.","Real Estate","Equity Real Estate Investment Trusts (REITs)","11.35","0.118",,,"0.61","1.0","3.0","10.6","0.141"
"COG","1.44","1.41","1.4200","1.42","1.44","1.395","20991","1.5850","1.1200","29647.73","33","273000000","14","192557","6","118210","2.3","1.6","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1      3393      1.4          1      10836      1.44
        1     61605    1.395          1      13985      1.48
        2     37498     1.39          4      93389       1.5
        1      7220    1.385                                
        1     14061     1.36                                
        1       452    1.355                                
        1       410      1.3                                
        1     20000      1.2                                
        1     15000     1.19                                
        1     20000     1.17","COG FINANCIAL SERVICES LIMITED","COG Financial Services Limited (COG, formerly Consolidated Operations Group Limited) is focused in the equipment finance sector. The investment objective of the Company is to grow its earnings per share from investing in complementary entities and growing existing businesses that concentrate in equipment finance broking, aggregation, insurance broking, and novated leasing. ","Financials","Financial Services","14.81","0.096",,,"1.65","0.76","4.7","5.9","0.084"
"COH","293.85","2.39","287.0000","288.8","295.94","287.21","209849","295.94","197.7400","61460743.180","22872","18799000000","101","16345","80","17888","1.3","0.9","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1       145   293.85          2        402    293.94
        1        20    293.5          3       2071    294.08
        1       777   293.47          2        199     294.1
        1       693   293.38          1        257    294.12
        2      1147   293.34          1         98    294.14
        1        99   293.25          2        399    294.23
        1       258   293.23          2        510    294.33
        1       156   293.21          2        199    294.45
        1       100    293.2          1        257    294.71
        1       777   293.15          1         98    294.73","COCHLEAR LIMITED"," Cochlear Limited (COH) is a manufacturer and distributor of cochlear implantable devices for hearing impaired. Cochlear have operations in over 30 countries distributing its products in America, Asia Pacific and Europe.","Health Care","Health Care Equipment & Services","56.84","4.631","3.16","11.5","10.78","0.82","175.0","1.3","3.3"
"COI","0.175","2.94","0.1700","0.175","0.18","0.17","368093","0.1900","0.1150","64404.005","109","173000000","24","1688108","41","3416881","0.6","0.5","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1    106831     0.17          1       1382     0.175
        4    299999    0.165          7     673000      0.18
        1     70000     0.16          6     595829     0.185
        3    227000    0.155         10    1202716      0.19
        3    122301     0.15          3     210000     0.195
        2     90000    0.145          8     268580       0.2
        3    264285     0.14          2     150000     0.205
        2    265000    0.135          1       5000      0.22
        2    157692     0.13          1     257174      0.24
        1     10000      0.1          2      53200     0.255","COMET RIDGE LIMITED","Comet Ridge Limited (COI) is an Australian-based coal seam gas (CSG) exploration company. The Company focuses on the exploration and appraisal for gas resources and reserves in eastern Australia. The Company has tenement interests and a number of prospective projects in eastern Australia.","Energy","Energy",,"-0.007",,"11.2","2.67","1.21",,,
"COL","15.89","0.95","15.7400","15.75","15.96","15.71","2630764","18.8500","14.8200","41789114.900","9253","21066000000","631","576437","435","1001389","1.5","0.6","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2     13973    15.89          4       9772      15.9
        1     13778    15.88          2       6838     15.91
        2     22637    15.87          2       9825     15.92
        2      3732    15.86          3      14538     15.93
        3      3148    15.85          2      11232     15.94
        4     21399    15.84          6      14643     15.95
        1        31    15.83         12      30681     15.96
        4     66241    15.82          6      20444     15.97
        3     14318    15.81          9      55012     15.98
        4      1170     15.8         11      51234     15.99","COLES GROUP LIMITED."," Coles Group Limited (COL) is an Australian retailer, providing customers with everyday products, including fresh food, groceries, general merchandise, liquor, fuel and financial services through its store network and online platforms. ","Consumer Staples","Consumer Staples Distribution & Retail","19.38","0.783","2.45","267.2","6.25","0.74","30.0","4.3","0.66"
"COS","0.86","-2.27","0.8800","0.875","0.88","0.86","196266","0.9300","0.6850","171129.970","20","154000000","41","725874","10","65145","4.1","11.1","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1     30000     0.86          1       3220      0.88
        1     23500     0.85          1       4588     0.885
        1     20000    0.845          1       5000      0.89
        3     30622     0.84          5      46491       0.9
        3      5997    0.835          1       2000      0.92
        3     29857     0.83          1       3846      0.95
        3     37212    0.825                                
        3    115500     0.82                                
        6    132400    0.815                                
        9    193500     0.81","COSOL LIMITED","COSOL Limited (COS) operates in the IT and business services industry, with a particular focus on providing EAM-related solutions i.e. Enterprise Asset Management, Data Migration and Legacy Data Services.","Information Technology","Software & Services","17.32","0.051",,"35.3","3.04","1.21","1.46","2.8","0.025"
"COV","0.18","2.86","0.1750","0.18","0.18","0.18","1091","0.2300","0.1500","196.38","1","13000000","11","306562","14","309943","0.8","1","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1     35675     0.17          1      25864      0.18
        1      4085     0.16          4      52748     0.195
        2     46500    0.155          3      88027       0.2
        3    108153     0.15          1      30000      0.21
        3    107149     0.14          2      29060      0.23
        1      5000      0.1          1      14244     0.235
                                      1      20000      0.24
                                      1      50000      0.25","CLEO DIAGNOSTICS LTD","Cleo Diagnostics Ltd (COV) is a medical diagnostics/devices entity focussed on the development of non-invasive blood based IVD tests to detect the presence, and recurrence, of ovarian cancer. The Company has developed a three-phased product development strategy that will deliver three related tests for ovarian cancer detection which includes Triage Test, Recurrence Test and Screening Test. ","Health Care","Health Care Equipment & Services",,"-0.066",,"-169.6","-8.33","0.85",,,
"COY","0.012",,"0.0120","0.0","0.0","0.0","0","0.0150","0.0070","0.0","0","8000000","6","6133106","13","5038584","0.5","1.2","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2    450000     0.01          2     545378     0.013
        1    111106    0.009          3     428631     0.014
        1     72000    0.007          1      57513     0.015
        2   5500000    0.001          1      66667     0.018
                                      1      10000     0.025
                                      1      50000     0.029
                                      2    3392145      0.03
                                      1     188250     0.039
                                      1     300000      0.04","COPPERMOLY LIMITED","Coppermoly Ltd (COY) is a mineral exploration and resource development Company steadily advancing an exciting portfolio of copper/gold projects in the Southwest Pacific nation of Papua New Guinea.","Materials","Materials",,"0.0",,"0.0","3.08","0.93",,,
"CPM","0.285","-9.52","0.3150","0.29","0.31","0.265","1351605","0.5000","0.0900","389272.930","165","20000000","33","1001664","42","917987","0.8","1.1","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1     15925    0.285          1       8185      0.29
        2    140818     0.28          3      61960       0.3
        1      5000     0.27          2      36234     0.305
        1    100000    0.265          3      33355      0.31
        4     36750     0.26          1      41197      0.32
        3     10502     0.25          1       3125     0.325
        1      8332     0.24          2     117667     0.335
        4     59500     0.22          1      10000     0.345
        1     36279    0.215          2      40000     0.355
        2    100000     0.21          2      28191      0.36","COOPER METALS LIMITED","Cooper Metals Limited (CPM) is a minerals exploration company focused on the discovery of copper and gold. Cooper Metals plans to list on the ASX with three prospective Projects. The company intends on increasing Shareholder wealth through undertaking systematic exploration activities on the Projects and the acquisition, exploration and development of resources projects throughout Australia.","Materials","Materials",,"-0.022",,"0.0","2.08","0.86",,,
"CPN","0.135","0.00","0.1350","0.13","0.135","0.125","152422","0.7300","0.1150","19906.665","19","13000000","12","275847","13","273734","0.9","1","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2     42100     0.12          1       3084     0.135
        1      3439    0.115          1      61100      0.14
        2     90454     0.11          1      30000     0.145
        3     50525    0.105          1      32587      0.15
        1     29999      0.1          1      15899     0.155
        3     59330     0.09          3      30445      0.16
                                      2      38299     0.165
                                      1      22319      0.17
                                      1      30001     0.175
                                      1      10000      0.18","CASPIN RESOURCES LIMITED","Caspin Resources Limited (ASX Code: CPN) is a new mineral exploration company based in Perth, Western Australia. Caspin has skills and experience in early-stage exploration and development. The Company is actively exploring the Yarawindah Brook Project in Australia&#39;s new PGE-Ni-Cu West Yilgarn province and the Mount Squires Project in the West Musgrave region, one of Australia&#39;s last mineral exploration frontiers.","Materials","Materials",,"-0.144",,"3.7","3.77","0.88",,,
